STYLE	QUALITY	YEAR_BUILT	GLA	BSMT	Open Porch/deck/Roof Only	COV Porch&Deck	Enclosed	Foundation	Garage	Carport
9612	2	1968	1028	0	220	72	NULL	1510	NULL	2004
9612	1	1969	768	0	16	NULL	NULL	1510	NULL	NULL
9724	4	1999	1580	0	324	NULL	NULL	1559	NULL	NULL
9724	3.5	1981	1526	0	NULL	188	NULL	1560	NULL	NULL
9724	4	2001	1560	0	1019	NULL	NULL	1559	NULL	NULL
9724	4.5	2019	2305	0	272	NULL	NULL	1559	NULL	NULL
9612	3	1995	980	0	392	NULL	NULL	1507	NULL	NULL
9724	4	2003	1976	0	338	NULL	NULL	1559	NULL	NULL
9612	3	1998	1008	0	301	NULL	NULL	1507	NULL	NULL
9724	3.5	1997	2128	0	52	NULL	NULL	1507	NULL	NULL
9724	2.5	1974	1440	0	NULL	30	NULL	1513	NULL	NULL
9724	3.5	1995	1822	0	91	200	NULL	NULL	NULL	NULL
9724	3.5	1978	2091	0	124	40	NULL	1559	816	NULL
9612	3.5	2010	1088	0	12	NULL	42	1559	NULL	NULL
9724	4	2006	1404	0	236	NULL	NULL	1559	NULL	NULL
9836	4.5	2010	2559	0	NULL	81	NULL	1559	NULL	NULL
9724	4	2008	1608	0	NULL	NULL	NULL	1559	NULL	NULL
9724	3	1978	1152	0	96	NULL	204	1510	NULL	NULL
9612	2.5	1983	924	0	112	352	NULL	1510	NULL	NULL
9612	1	1971	1112	0	NULL	NULL	NULL	1560	NULL	NULL
9612	1	1967	720	0	53	NULL	NULL	1510	NULL	NULL
9724	3.5	1984	1495	0	112	NULL	36	1559	NULL	NULL
9612	2.5	1980	1064	0	NULL	112	NULL	1510	NULL	NULL
9724	3.5	1982	1728	0	390	NULL	NULL	1559	NULL	NULL
9724	4	2002	1680	0	48	429	NULL	1559	560	NULL
9724	3	1981	1904	0	25	168	NULL	1559	NULL	NULL
9724	3.5	1988	1456	0	NULL	208	NULL	1507	NULL	NULL
9724	4	1998	1248	0	16	128	NULL	1560	NULL	NULL
9612	1	1972	840	0	NULL	240	NULL	NULL	NULL	NULL
9612	1	1970	1440	0	64	80	NULL	1510	NULL	NULL
9724	3.5	1982	1344	0	64	NULL	NULL	1510	NULL	NULL
9724	3	1979	1584	0	NULL	72	NULL	1560	NULL	NULL
9612	2	1973	1276	0	NULL	356	NULL	1512	NULL	NULL
9612	1	1973	992	0	135	NULL	NULL	1510	NULL	NULL
9724	3	1975	1392	1	NULL	216	104	NULL	NULL	NULL
9612	3	1979	1210	0	NULL	480	120	1559	NULL	NULL
9724	4	1998	1161	0	NULL	60	NULL	1559	NULL	NULL
9724	4	1986	1795	0	NULL	240	NULL	1559	NULL	NULL
9724	3.5	1992	1536	0	NULL	NULL	NULL	1507	NULL	NULL
9724	4.5	2022	2030	0	NULL	NULL	NULL	1559	NULL	NULL
9724	3	1978	1152	0	348	NULL	NULL	1559	NULL	NULL
9612	1	1973	944	0	48	NULL	NULL	NULL	NULL	NULL
9612	1	1972	720	0	49	NULL	NULL	1510	NULL	NULL
9724	3	1978	1568	0	96	320	NULL	1507	NULL	NULL
9724	4	2001	1748	0	184	NULL	NULL	1559	NULL	NULL
9724	3	1979	1440	0	NULL	360	NULL	1560	NULL	NULL
9612	3	1982	980	0	NULL	NULL	240	1507	NULL	NULL
9612	1	1959	500	0	192	NULL	NULL	1507	NULL	NULL
9724	4	1997	1200	0	144	390	NULL	1559	NULL	2004
9724	2	1974	1680	0	NULL	232	NULL	1507	NULL	NULL
9724	3	1974	2368	0	NULL	448	NULL	1559	888	NULL
9724	3.5	1997	1248	0	NULL	NULL	NULL	1560	NULL	NULL
9612	1	1972	816	0	160	NULL	NULL	1507	NULL	NULL
9724	3	1980	1584	0	189	NULL	NULL	1560	NULL	NULL
9612	1	1972	840	0	144	528	NULL	NULL	NULL	NULL
