QUALITY,length
1,64
1,93
1,60
1,70
1,120
1,83
1,79
1,60
1,42
1,68
1,70
1,62
1,72
1,79
1,75
1,56
1,52
1,52
1,41
1,79
1,78
1,80
1,70
1,94
1,75
1,77
1,79
1,79
1,74
1,104
1,70
1,48
1,75
1,79
1,50
1,70
1,75
1,95
1,50
1,77
1,64
1,145
1,91
1,87
1,82
1,82
1,82
1,42
1,111
1,55
1,66
1,56
1,98
1,118
1,65
1,48
1,140
1,82
1,75
1,64
1,37
1,77
1,80
1,84
1,89
1,65
1,77
1,77
1,48
1,40
1,42
1,56
1,60
1,90
1,46
1,38
1,40
1,36
1,75
1,140
1,99
1,58
1,60
1,76
1,56
1,55
1,36
1,61
1,37
1,37
1,37
1,85
1,41
1,27
1,32
1,16
1,97
1,35
1,62
1,19
1,75
1,70
1,39
1,56
1,48
1,60
1,60
1,56
1,70
1,79
1,41
1,65
1,39
1,41
1,24
1,53
1,70
1,82
1,57
1,39
1,76
1,70
1,58
1,42
1,66
1,39
1,46
1,72
1,79
1,56
1,56
1,64
1,29
1,77
1,58
1,60
1,90
1,46
1,40
1,65
1,45
1,65
1,42
1,45
1,56
1,56
1,50
1,85
1,65
1,65
1,46
1,54
1,70
1,41
1,67
1,70
1,40
1,52
1,58
1,50
1,60
1,48
1,86
1,61
1,38
1,27
1,43
1,37
1,27
1,107
1,79
1,73
1,70
1,52
1,110
1,25
1,18
1,50
1,41
1,20
1,16
1,36
1,43
1,82
1,60
1,19
1,50
1,46
1,21
1,44
1,35
1,61
1,39
1,43
1,25
1,57
1,48
1,76
1,56
1,56
1,43
1,56
1,42
1,65
1,65
1,68
1,72
1,72
1,60
1,70
1,81
1,57
1,38
1,37
1,19
1,77
1,44
1,48
1,58
1,82
1,65
1,70
1,46
1,56
1,24
1,41
1,40
1,43
1,42
1,57
1,64
1,52
1,50
1,56
1,50
1,130
1,73
1,56
1,46
1,36
1,48
1,70
1,56
1,50
1,82
1,70
1,35
1,56
1,40
1,106
1,109
1,80
1,92
1,56
1,35
1,79
1,40
1,24
1,60
1,58
1,82
1,101
1,53
1,48
1,65
1,79
1,75
1,77
1,62
1,23
1,72
1,71
1,55
1,60
1,82
1,55
1,47
1,33
1,40
1,80
1,77
1,60
1,82
1,75
1,77
1,75
1,70
1,48
1,79
1,82
1,77
1,138
1,25
1,79
1,56
1,60
1,35
1,40
1,61
1,58
1,89
1,37
1,19
1,25
1,38
1,52
1,70
1,71
1,56
1,70
1,67
1,70
1,71
1,65
1,61
1,50
1,66
1,82
1,60
1,65
1,65
1,60
1,65
1,39
1,40
1,60
1,40
1,70
1,58
1,48
1,50
1,62
1,27
1,77
1,60
1,82
1,70
1,80
1,70
1,77
1,40
1,48
1,63
1,28
1,58
1,60
1,82
1,105
1,68
1,64
1,76
1,21
1,78
1,173
1,78
1,70
1,85
1,60
1,117
1,33
1,38
1,68
1,29
1,65
1,82
1,77
1,98
1,82
1,40
1,82
1,82
1,64
1,79
1,44
1,70
1,82
1,75
1,71
1,26
1,82
1,75
1,58
1,78
1,70
1,25
1,50
1,52
1,70
1,70
1,72
1,60
1,60
1,62
1,82
1,77
1,84
1,56
1,60
1,82
1,82
1,45
1,61
1,101
1,72
1,56
1,103
1,60
1,79
1,77
1,70
1,88
1,64
1,70
1,92
1,128
1,56
1,82
1,56
1,82
1,67
1,144
1,52
1,46
1,52
1,128
1,99
1,70
1,70
1,66
1,66
1,60
1,45
1,108
1,40
1,82
1,82
1,68
1,65
1,79
1,64
1,44
1,48
1,60
1,60
1,28
2,86
2,106
2,35
2,30
2,28
2,31
2,97
2,28
2,26
2,24
2,30
2,28
2,77
2,94
2,30
2,77
2,67
2,34
2,48
2,23
2,28
2,24
2,67
2,108
2,22
2,28
2,42
2,37
2,82
2,70
2,30
2,24
2,28
2,77
2,33
2,76
2,29
2,24
2,30
2,34
2,30
2,28
2,87
2,30
2,82
2,75
2,26
2,104
2,88
2,57
2,61
2,79
2,68
2,54
2,69
2,18
2,31
2,24
2,13
2,22
2,75
2,60
2,37
2,43
2,68
2,23
2,56
2,139
2,56
2,40
2,36
2,177
2,82
2,44
2,241
2,70
2,25
2,107
2,58
2,112
2,26
2,72
2,30
2,95
2,28
2,43
2,101
2,46
2,33
2,30
2,89
2,20
2,32
2,30
2,30
2,37
2,50
2,70
2,36
2,30
2,28
2,30
2,34
2,60
2,60
2,81
2,70
2,76
2,34
2,20
2,25
2,56
2,82
2,68
2,51
2,44
2,112
2,33
2,30
2,64
2,24
2,30
2,30
2,78
2,89
2,68
2,79
2,68
2,68
2,70
2,20
2,70
2,56
2,72
2,60
2,58
2,30
2,40
2,70
2,54
2,50
2,65
2,64
2,70
2,58
2,68
2,70
2,14
2,65
2,64
2,42
2,70
2,66
2,75
2,64
2,66
2,68
2,48
2,56
2,68
2,66
2,66
2,70
2,70
2,74
2,60
2,70
2,47
2,63
2,70
2,64
2,70
2,60
2,70
2,68
2,35
2,60
2,70
2,70
2,68
2,70
2,54
2,68
2,68
2,66
2,66
2,54
2,68
2,70
2,70
2,60
2,56
2,70
2,68
2,68
2,65
2,58
2,64
2,64
2,32
2,70
2,68
2,62
2,56
2,66
2,35
2,70
2,70
2,48
2,64
2,70
2,28
2,36
2,70
2,74
2,166
2,40
2,90
2,101
2,28
2,77
2,67
2,79
2,76
2,30
2,79
2,88
2,33
2,70
2,60
2,50
2,112
2,82
2,35
2,76
2,76
2,29
2,112
2,36
2,68
2,82
2,22
2,70
2,58
2,135
2,87
2,30
2,89
2,79
2,65
2,31
2,70
2,34
2,68
2,58
2,45
2,52
2,60
2,58
2,35
2,68
2,51
2,30
2,30
2,50
2,74
2,83
2,60
2,50
2,60
2,50
2,93
2,52
2,70
2,40
2,50
2,48
2.5,30
2.5,77
2.5,89
2.5,79
2.5,36
2.5,28
2.5,24
2.5,30
2.5,77
2.5,28
2.5,77
2.5,38
2.5,79
2.5,77
2.5,32
2.5,82
2.5,31
2.5,28
2.5,24
2.5,29
2.5,32
2.5,35
2.5,27
2.5,39
2.5,24
2.5,82
2.5,99
2.5,76
2.5,28
2.5,31
2.5,99
2.5,100
2.5,93
2.5,30
2.5,65
2.5,30
2.5,28
2.5,79
2.5,24
2.5,33
2.5,28
2.5,30
2.5,95
2.5,35
2.5,49
2.5,41
2.5,38
2.5,82
2.5,61
2.5,82
2.5,30
2.5,70
2.5,32
2.5,82
2.5,88
2.5,82
2.5,37
2.5,65
2.5,76
2.5,76
2.5,77
2.5,70
2.5,77
2.5,82
2.5,70
2.5,26
2.5,65
2.5,30
2.5,48
2.5,24
2.5,82
2.5,82
2.5,98
2.5,118
2.5,61
2.5,78
2.5,23
2.5,78
2.5,82
2.5,82
2.5,35
2.5,28
2.5,82
2.5,48
2.5,36
2.5,25
2.5,22
2.5,79
2.5,53
2.5,38
2.5,28
2.5,20
2.5,62
2.5,32
2.5,76
2.5,53
2.5,50
2.5,52
2.5,54
2.5,65
2.5,32
2.5,70
2.5,58
2.5,99
2.5,82
2.5,79
2.5,62
2.5,92
2.5,120
2.5,79
2.5,77
2.5,31
2.5,61
2.5,37
2.5,82
2.5,38
2.5,82
2.5,77
2.5,31
2.5,32
2.5,82
2.5,45
2.5,29
2.5,41
2.5,78
2.5,89
2.5,82
2.5,32
2.5,77
2.5,104
2.5,30
2.5,28
2.5,77
2.5,28
2.5,71
